id_product,id_region,month,sales,year
1692217114624,996432412672,May,-1.0,2018
1692217114624,996432412672,Aug,-1.0,2019
1606317768704,1151051235328,Apr,4.504014,2018
1606317768704,1151051235328,Aug,3.572366692934072,2019
1606317768704,1151051235328,Jul,0.149547,2018
1606317768704,1151051235328,Aug,5.322636,2018
1606317768704,1151051235328,Dec,0.782672,2018
1606317768704,1151051235328,Jul,0.8326308010949088,2019
1606317768704,1151051235328,Mar,6.93633,2018
1606317768704,1151051235328,Jun,0.8402655239055536,2019
1606317768704,1151051235328,Jan,128.313805,2018
1606317768704,1151051235328,Sep,64.88441999999999,2018
1606317768704,1151051235328,May,2.37695306310018,2019
1606317768704,1151051235328,Jun,111.5114,2018
1606317768704,1151051235328,Feb,0.526878717787952,2019
1606317768704,1151051235328,May,643.3925207423185,2020
1606317768704,1151051235328,Mar,0.6880163430343579,2020
1606317768704,1151051235328,Dec,2.3229283350798315,2019
1606317768704,1151051235328,Sep,0.4017496195933288,2019
1606317768704,1151051235328,May,8.29157,2018
1606317768704,1151051235328,Feb,3.332376,2018
1606317768704,1151051235328,Apr,0.8238292613855775,2019
1606317768704,1151051235328,Oct,0.8612799999999999,2018
1606317768704,1151051235328,Mar,69.50069239411593,2019
1606317768704,1151051235328,Jan,4.0158520475561765,2020
1606317768704,996432412672,Oct,,2019
1606317768704,996432412672,Feb,,2020
1606317768704,996432412672,Nov,,2018
1606317768704,996432412672,Jan,,2019
1606317768704,996432412672,Apr,,2020
644245094400,1151051235328,Feb,12.613092070250252,2020
644245094400,1151051235328,May,5.651866172260427,2019
644245094400,1151051235328,May,9.13864283137607,2020
644245094400,1151051235328,Jul,5.620257907390634,2019
644245094400,1151051235328,Dec,13.93757001047899,2019
644245094400,1151051235328,Mar,4.03275,2018
644245094400,1151051235328,Apr,3.2956199999999995,2018
644245094400,1151051235328,Apr,12.3599845500192,2020
644245094400,1151051235328,Dec,4.4025300000000005,2018
644245094400,1151051235328,Oct,13.816434445590177,2019
644245094400,1151051235328,Nov,4.58451,2018
644245094400,1151051235328,Jan,15.323645970938038,2020
644245094400,1151051235328,Apr,8.289781942692374,2019
644245094400,1151051235328,Sep,15.969547378834818,2019
644245094400,1151051235328,Mar,13.813251194766725,2020
644245094400,1151051235328,Jun,10.030669691622547,2019
644245094400,1151051235328,Nov,6.298220752637375,2019
644245094400,1151051235328,Mar,6.0617145245995845,2019
644245094400,1151051235328,Jan,5.753476270729062,2019
644245094400,1151051235328,Aug,4.8332019963225665,2019
644245094400,996432412672,May,,2018
644245094400,996432412672,Jun,,2018
644245094400,996432412672,Jul,,2018
644245094400,996432412672,Feb,,2019
103079215104,446676598784,Feb,7732835.28472599,2020
103079215104,446676598784,Oct,7680349.271335472,2019
103079215104,446676598784,Jan,7790639.34868612,2019
103079215104,446676598784,Mar,9706495.562294507,2020
103079215104,446676598784,Apr,8557692.814664159,2019
103079215104,446676598784,Oct,8415672.602119999,2018
103079215104,446676598784,Jul,8516972.579315,2018
103079215104,446676598784,Jun,10968332.703134183,2019
103079215104,446676598784,Sep,10086922.24638299,2019
103079215104,446676598784,Feb,8156996.211742015,2019
103079215104,446676598784,Nov,7695560.226735941,2019
103079215104,446676598784,Apr,5662783.957770001,2020
103079215104,446676598784,May,8528758.38395,2018
103079215104,446676598784,Feb,7476528.1995,2018
103079215104,446676598784,Jun,10580819.253095,2018
103079215104,446676598784,Aug,8459235.198318893,2019
103079215104,446676598784,Jan,7839689.141347488,2020
103079215104,446676598784,Mar,9906851.12281,2018
103079215104,446676598784,Aug,9166483.7713,2018
103079215104,446676598784,Sep,11232017.477325,2018
103079215104,446676598784,May,8849545.73785905,2019
103079215104,446676598784,Apr,8669477.855574,2018
103079215104,446676598784,Jan,7006147.1818,2018
103079215104,446676598784,May,5447497.053990176,2020
103079215104,446676598784,Dec,9463066.007299157,2019
103079215104,446676598784,Nov,7851380.734182999,2018
103079215104,446676598784,Mar,10006981.318422902,2019
103079215104,446676598784,Dec,9388704.135855,2018
103079215104,446676598784,Jul,8391444.510361042,2019
360777252864,446676598784,Apr,647845.1715881879,2019
360777252864,446676598784,Feb,67491.5912719538,2020
360777252864,446676598784,Jan,505650.74159499997,2018
360777252864,446676598784,Dec,123816.41639264715,2019
360777252864,446676598784,Sep,663549.3072329995,2019
360777252864,446676598784,May,35412.5616257167,2020
360777252864,446676598784,Feb,544217.956776,2018
360777252864,446676598784,Feb,585670.5848880642,2019
360777252864,446676598784,Aug,643685.135116,2018
360777252864,446676598784,Jan,83004.01585204825,2020
360777252864,446676598784,Jun,829688.9967229641,2019
360777252864,446676598784,Apr,39162.26771383167,2020
360777252864,446676598784,Oct,250358.46535986237,2019
360777252864,446676598784,May,697927.3497501556,2019
360777252864,446676598784,Apr,615297.7467,2018
360777252864,446676598784,Mar,67502.87114512325,2020
360777252864,446676598784,Jul,605607.9738009999,2018
360777252864,446676598784,Mar,716245.16695,2018
360777252864,446676598784,Oct,603124.4545199999,2018
360777252864,446676598784,Mar,777251.2214877325,2019
360777252864,446676598784,Jul,667693.5606415416,2019
360777252864,446676598784,Nov,546293.675452,2018
360777252864,446676598784,Jun,758807.4018980002,2018
360777252864,446676598784,Nov,139440.82296751154,2019
360777252864,446676598784,Dec,673008.2551389999,2018
360777252864,446676598784,May,601867.199304,2018
360777252864,446676598784,Sep,781941.0432750002,2018
360777252864,446676598784,Aug,695514.2631993701,2019
360777252864,446676598784,Jan,539376.8934283082,2019
481036337152,446676598784,Feb,22548800.79829718,2020
481036337152,446676598784,Oct,19689640.473720003,2018
481036337152,446676598784,May,16357589.4825445,2020
481036337152,446676598784,Nov,21919473.048863687,2019
481036337152,446676598784,Jun,22724483.854436,2018
481036337152,446676598784,Jan,16189252.526879998,2018
481036337152,446676598784,Jul,18439764.124882,2018
481036337152,446676598784,Jan,20280245.515598036,2019
481036337152,446676598784,Apr,21452016.734031864,2019
481036337152,446676598784,Jun,29045302.127972424,2019
481036337152,446676598784,Jul,22519853.71717612,2019
481036337152,446676598784,Mar,20861985.76577,2018
481036337152,446676598784,Dec,23358521.128954,2018
481036337152,446676598784,Sep,25435728.649320003,2018
481036337152,446676598784,Apr,17347517.531436265,2020
481036337152,446676598784,Oct,21148504.52335842,2019
481036337152,446676598784,May,22570184.13463061,2019
481036337152,446676598784,Dec,28259284.74455532,2019
481036337152,446676598784,Feb,20930189.570962645,2019
481036337152,446676598784,Feb,16770544.051536,2018
481036337152,446676598784,Aug,19941880.672972,2018
481036337152,446676598784,Jan,23781016.53896981,2020
481036337152,446676598784,Nov,19400816.421812,2018
481036337152,446676598784,Apr,18324985.111866,2018
481036337152,446676598784,Sep,27836405.09418516,2019
481036337152,446676598784,Mar,25552233.010216065,2019
481036337152,446676598784,Aug,22894589.54557396,2019
481036337152,446676598784,May,18185127.064748004,2018
481036337152,446676598784,Mar,27824576.790562306,2020
85899345920,446676598784,Mar,29844563.87702477,2020
85899345920,446676598784,Jul,26862469.478877176,2019
85899345920,446676598784,May,27731515.54527302,2019
85899345920,446676598784,Mar,31829431.157769997,2018
85899345920,446676598784,Jun,34553070.48777411,2019
85899345920,446676598784,Oct,26368184.309320007,2018
85899345920,446676598784,Oct,24425439.86549296,2019
85899345920,446676598784,Jun,33293867.91758301,2018
85899345920,446676598784,Apr,17753295.60963033,2020
85899345920,446676598784,Jan,25393684.974262103,2019
85899345920,446676598784,Jul,27061424.339852,2018
85899345920,446676598784,Nov,25108979.635012,2018
85899345920,446676598784,Feb,24471564.28951593,2020
85899345920,446676598784,Sep,34582352.46285,2018
85899345920,446676598784,Aug,27179174.625689544,2019
85899345920,446676598784,Dec,29896765.392274,2018
85899345920,446676598784,Feb,26419943.202474207,2019
85899345920,446676598784,May,16594863.802156512,2020
85899345920,446676598784,Apr,27608178.212343,2018
85899345920,446676598784,Feb,24809165.878896005,2018
85899345920,446676598784,Mar,31755172.157918107,2019
85899345920,446676598784,Aug,28374366.004316,2018
85899345920,446676598784,Apr,26655876.013696145,2019
85899345920,446676598784,Jan,23195140.72104,2018
85899345920,446676598784,Nov,24965819.81840129,2019
85899345920,446676598784,May,26967720.737496,2018
85899345920,446676598784,Dec,31354558.514564764,2019
85899345920,446676598784,Sep,32351288.411030024,2019
85899345920,446676598784,Jan,25796888.03170431,2020
833223655424,446676598784,Feb,19752487.552490275,2019
833223655424,446676598784,Jan,19388230.93333605,2019
833223655424,446676598784,Nov,20663616.175930284,2019
833223655424,446676598784,Oct,20480754.265570167,2019
833223655424,446676598784,Oct,20790264.964210004,2018
833223655424,446676598784,Dec,25769594.21023018,2019
833223655424,446676598784,May,22684694.05973019,2019
833223655424,446676598784,Nov,19628792.286264002,2018
833223655424,446676598784,Feb,18435775.605876,2018
833223655424,446676598784,Jul,22955238.70484277,2019
833223655424,446676598784,Aug,22861023.612388,2018
833223655424,446676598784,Dec,23273877.157751,2018
833223655424,446676598784,Sep,27252231.819574233,2019
833223655424,446676598784,Jul,21225177.246221,2018
833223655424,446676598784,Mar,24119168.81352388,2019
833223655424,446676598784,Jan,17778721.650000002,2018
833223655424,446676598784,Mar,23940086.14068,2018
833223655424,446676598784,Apr,15464115.059439372,2020
833223655424,446676598784,Sep,27700944.71853,2018
833223655424,446676598784,Aug,23100876.38560548,2019
833223655424,446676598784,Feb,20126873.390101306,2020
833223655424,446676598784,Jun,29490527.05654985,2019
833223655424,446676598784,Apr,20984935.215501,2018
833223655424,446676598784,Apr,20809344.540843904,2019
833223655424,446676598784,Mar,25009025.55716072,2020
833223655424,446676598784,May,15594724.63826216,2020
833223655424,446676598784,May,20988177.679672,2018
833223655424,446676598784,Jan,21444517.0409513,2020
833223655424,446676598784,Jun,26619169.786391005,2018
996432412672,893353197568,Nov,6893.57487,2018
996432412672,1151051235328,Aug,1.559156,2018
996432412672,1151051235328,Jun,0.35480900000000004,2018
996432412672,1151051235328,Jun,69.84707167464916,2019
996432412672,1151051235328,Feb,885.0508701402017,2019
996432412672,1151051235328,Feb,3.601116,2018
996432412672,1151051235328,Mar,0.370470338556962,2020
996432412672,1151051235328,Apr,0.5149993562508001,2020
996432412672,1151051235328,Apr,4.723722,2018
996432412672,1151051235328,Jul,7.129401234375157,2019
996432412672,1151051235328,Dec,0.0516206296684407,2019
996432412672,1151051235328,Jan,1.268163804491424,2020
996432412672,1151051235328,May,0.280572367629967,2020
996432412672,1151051235328,Oct,701.5663900000002,2018
996432412672,1151051235328,Apr,6.745102077594416,2019
996432412672,1151051235328,Nov,1.6270403610979889,2019
996432412672,1151051235328,Sep,0.0502187024491661,2019
996432412672,1151051235328,Sep,1.338375,2018
996432412672,1151051235328,May,0.21397600000000003,2018
996432412672,1151051235328,Mar,13.743369999738713,2019
996432412672,1151051235328,Oct,1.5238714462047989,2019
996432412672,1151051235328,May,3.9615884385003,2019
996432412672,996432412672,Aug,,2019
996432412672,996432412672,Mar,,2018
996432412672,996432412672,Jul,,2018
